,index,Unicode_Character,character,structure,segment,pinyin,segment1,segment2,pinyin1,pinyin2,consonant,vowel,tone,consonant1,vowel1,tone1,consonant2,vowel2,tone2,segment1_sound,segment2_sound
44,92,U+04EF0,仰,0,亻卬,yang3,亻,卬,ren2,ang2,y,ang,3,r,en,2,00,ang,2,"[0, 0, 0]","[0, 1, 0]"
45,93,U+04EF2,仲,0,亻中,zhong4,亻,中,ren2,zhong1,zh,ong,4,r,en,2,zh,ong,1,"[0, 0, 0]","[1, 1, 0]"
46,94,U+04EF3,仳,0,亻比,pi3,亻,比,ren2,bi3,p,i,3,r,en,2,b,i,3,"[0, 0, 0]","[0, 1, 1]"
47,95,U+04EF6,件,0,亻牛,jian4,亻,牛,ren2,niu2,j,ian,4,r,en,2,n,iu,2,"[0, 0, 0]","[0, 0, 0]"
48,96,U+04EF7,价,0,亻介,jia4,亻,介,ren2,jie4,j,ia,4,r,en,2,j,ie,4,"[0, 0, 0]","[1, 0, 1]"
49,97,U+04EFB,任,0,亻壬,ren4,亻,壬,ren2,ren2,r,en,4,r,en,2,r,en,2,"[1, 1, 0]","[1, 1, 0]"
50,98,U+04EFD,份,0,亻分,fen4,亻,分,ren2,fen1,f,en,4,r,en,2,f,en,1,"[0, 1, 0]","[1, 1, 0]"
51,99,U+04EFF,仿,0,亻方,fang3,亻,方,ren2,fang1,f,ang,3,r,en,2,f,ang,1,"[0, 0, 0]","[1, 1, 0]"
52,100,U+04F00,伀,0,亻公,zhong1,亻,公,ren2,gong1,zh,ong,1,r,en,2,g,ong,1,"[0, 0, 0]","[0, 1, 1]"
53,101,U+04F01,企,1,人止,qi3,人,止,ren2,zhi3,q,i,3,r,en,2,zh,i,3,"[0, 0, 0]","[0, 1, 1]"
54,102,U+04F03,伃,0,亻予,yu2,亻,予,ren2,yu2,y,u,2,r,en,2,y,u,2,"[0, 0, 1]","[1, 1, 1]"
55,103,U+04F09,伉,0,亻亢,kang4,亻,亢,ren2,kang4,k,ang,4,r,en,2,k,ang,4,"[0, 0, 0]","[1, 1, 1]"
56,104,U+04F0A,伊,0,亻尹,yi1,亻,尹,ren2,yin3,y,i,1,r,en,2,y,in,3,"[0, 0, 0]","[1, 0, 0]"
57,105,U+04F0B,伋,0,亻及,ji2,亻,及,ren2,ji2,j,i,2,r,en,2,j,i,2,"[0, 0, 1]","[1, 1, 1]"
58,106,U+04F0D,伍,0,亻五,wu3,亻,五,ren2,wu3,w,u,3,r,en,2,w,u,3,"[0, 0, 0]","[1, 1, 1]"
59,107,U+04F0E,伎,0,亻支,ji4,亻,支,ren2,zhi1,j,i,4,r,en,2,zh,i,1,"[0, 0, 0]","[0, 1, 0]"
60,108,U+04F0F,伏,0,亻犬,fu2,亻,犬,ren2,quan3,f,u,2,r,en,2,q,uan,3,"[0, 0, 1]","[0, 0, 0]"
61,109,U+04F10,伐,0,亻戈,fa2,亻,戈,ren2,ge1,f,a,2,r,en,2,g,e,1,"[0, 0, 1]","[0, 0, 0]"
62,110,U+04F11,休,0,亻木,xiu1,亻,木,ren2,mu4,x,iu,1,r,en,2,m,u,4,"[0, 0, 0]","[0, 0, 0]"
63,111,U+04F2D,伭,0,亻弦,xuan2,亻,弦,ren2,xian2,x,uan,2,r,en,2,x,ian,2,"[0, 0, 1]","[1, 0, 1]"
64,112,U+04F2F,伯,0,亻白,bo2,亻,白,ren2,bai2,b,o,2,r,en,2,b,ai,2,"[0, 0, 1]","[1, 0, 1]"
65,113,U+04F30,估,0,亻古,gu1,亻,古,ren2,gu3,g,u,1,r,en,2,g,u,3,"[0, 0, 0]","[1, 1, 0]"
66,114,U+04F34,伴,0,亻半,ban4,亻,半,ren2,ban4,b,an,4,r,en,2,b,an,4,"[0, 0, 0]","[1, 1, 1]"
67,115,U+04F36,伶,0,亻令,ling2,亻,令,ren2,ling4,l,ing,2,r,en,2,l,ing,4,"[0, 0, 1]","[1, 1, 0]"
68,116,U+04F38,伸,0,亻申,shen1,亻,申,ren2,shen1,sh,en,1,r,en,2,sh,en,1,"[0, 1, 0]","[1, 1, 1]"
69,117,U+04F39,伹,0,亻且,qu1,亻,且,ren2,qie3,q,u,1,r,en,2,q,ie,3,"[0, 0, 0]","[1, 0, 0]"
70,118,U+04F3A,伺,0,亻司,si4,亻,司,ren2,si1,s,i,4,r,en,2,s,i,1,"[0, 0, 0]","[1, 1, 0]"
71,119,U+04F3C,似,0,亻以,si4,亻,以,ren2,yi3,s,i,4,r,en,2,y,i,3,"[0, 0, 0]","[0, 1, 0]"
72,120,U+04F3D,伽,0,亻加,qie2,亻,加,ren2,jia1,q,ie,2,r,en,2,j,ia,1,"[0, 0, 1]","[0, 0, 0]"
73,121,U+04F3E,伾,0,亻丕,pi1,亻,丕,ren2,pi1,p,i,1,r,en,2,p,i,1,"[0, 0, 0]","[1, 1, 1]"
74,122,U+04F3F,伿,0,亻只,yi4,亻,只,ren2,zhi3,y,i,4,r,en,2,zh,i,3,"[0, 0, 0]","[0, 1, 0]"
76,124,U+04F41,佁,0,亻台,ai3,亻,台,ren2,tai2,00,ai,3,r,en,2,t,ai,2,"[0, 0, 0]","[0, 1, 0]"
77,125,U+04F43,佃,0,亻田,dian4,亻,田,ren2,tian2,d,ian,4,r,en,2,t,ian,2,"[0, 0, 0]","[0, 1, 0]"
78,126,U+04F46,但,0,亻旦,dan4,亻,旦,ren2,dan4,d,an,4,r,en,2,d,an,4,"[0, 0, 0]","[1, 1, 1]"
79,127,U+04F47,佇,0,亻宁,zhu4,亻,宁,ren2,ning2,zh,u,4,r,en,2,n,ing,2,"[0, 0, 0]","[0, 0, 0]"
80,128,U+04F4B,佋,0,亻召,shao4,亻,召,ren2,zhao4,sh,ao,4,r,en,2,zh,ao,4,"[0, 0, 0]","[0, 1, 1]"
81,129,U+04F4D,位,0,亻立,wei4,亻,立,ren2,li4,w,ei,4,r,en,2,l,i,4,"[0, 0, 0]","[0, 0, 1]"
82,130,U+04F4E,低,0,亻氐,di1,亻,氐,ren2,di3,d,i,1,r,en,2,d,i,3,"[0, 0, 0]","[1, 1, 0]"
83,131,U+04F4F,住,0,亻主,zhu4,亻,主,ren2,zhu3,zh,u,4,r,en,2,zh,u,3,"[0, 0, 0]","[1, 1, 0]"
84,132,U+04F50,佐,0,亻左,zuo3,亻,左,ren2,zuo3,z,uo,3,r,en,2,z,uo,3,"[0, 0, 0]","[1, 1, 1]"
85,133,U+04F51,佑,0,亻右,you4,亻,右,ren2,you4,y,ou,4,r,en,2,y,ou,4,"[0, 0, 0]","[1, 1, 1]"
86,134,U+04F55,何,0,亻可,he2,亻,可,ren2,ke3,h,e,2,r,en,2,k,e,3,"[0, 0, 1]","[0, 1, 0]"
87,135,U+04F56,佖,0,亻必,bi4,亻,必,ren2,bi4,b,i,4,r,en,2,b,i,4,"[0, 0, 0]","[1, 1, 1]"
88,136,U+04F57,佗,0,亻它,tuo2,亻,它,ren2,ta1,t,uo,2,r,en,2,t,a,1,"[0, 0, 1]","[1, 0, 0]"
89,137,U+04F59,余,1,舍八,yu2,舍,八,she4,ba1,y,u,2,sh,e,4,b,a,1,"[0, 0, 0]","[0, 0, 0]"
90,138,U+04F5A,佚,0,亻失,yi4,亻,失,ren2,shi1,y,i,4,r,en,2,sh,i,1,"[0, 0, 0]","[0, 1, 0]"
91,139,U+04F5B,佛,0,亻弗,fo2,亻,弗,ren2,fu2,f,o,2,r,en,2,f,u,2,"[0, 0, 1]","[1, 0, 1]"
92,140,U+04F5C,作,0,亻乍,zuo4,亻,乍,ren2,zha4,z,uo,4,r,en,2,zh,a,4,"[0, 0, 0]","[0, 0, 1]"
93,141,U+04F5D,佝,0,亻句,kou4,亻,句,ren2,ju4,k,ou,4,r,en,2,j,u,4,"[0, 0, 0]","[0, 0, 1]"
94,142,U+04F5E,佞,8,仁女,ning4,仁,女,ren2,nv3,n,ing,4,r,en,2,n,v,3,"[0, 0, 0]","[1, 0, 0]"
97,145,U+04F6E,佮,0,亻合,ge2,亻,合,ren2,he2,g,e,2,r,en,2,h,e,2,"[0, 0, 1]","[0, 1, 1]"
98,146,U+04F6F,佯,0,亻羊,yang2,亻,羊,ren2,yang2,y,ang,2,r,en,2,y,ang,2,"[0, 0, 1]","[1, 1, 1]"
99,147,U+04F70,佰,0,亻百,bai3,亻,百,ren2,bai3,b,ai,3,r,en,2,b,ai,3,"[0, 0, 0]","[1, 1, 1]"
100,148,U+04F73,佳,0,亻圭,jia1,亻,圭,ren2,gui1,j,ia,1,r,en,2,g,ui,1,"[0, 0, 0]","[0, 0, 1]"
101,149,U+04F74,佴,0,亻耳,er4,亻,耳,ren2,er3,00,er,4,r,en,2,00,er,3,"[0, 0, 0]","[1, 1, 0]"
102,150,U+04F76,佶,0,亻吉,ji2,亻,吉,ren2,ji2,j,i,2,r,en,2,j,i,2,"[0, 0, 1]","[1, 1, 1]"
103,151,U+04F7A,佺,0,亻全,quan2,亻,全,ren2,quan2,q,uan,2,r,en,2,q,uan,2,"[0, 0, 1]","[1, 1, 1]"
104,152,U+04F7B,佻,0,亻兆,tiao1,亻,兆,ren2,zhao4,t,iao,1,r,en,2,zh,ao,4,"[0, 0, 0]","[0, 0, 0]"
105,153,U+04F7C,佼,0,亻交,jiao3,亻,交,ren2,jiao1,j,iao,3,r,en,2,j,iao,1,"[0, 0, 0]","[1, 1, 0]"
106,154,U+04F7D,佽,0,亻次,ci4,亻,次,ren2,ci4,c,i,4,r,en,2,c,i,4,"[0, 0, 0]","[1, 1, 1]"
108,156,U+04F81,侁,0,亻先,shen1,亻,先,ren2,xian1,sh,en,1,r,en,2,x,ian,1,"[0, 1, 0]","[0, 0, 1]"
110,158,U+04F85,侅,0,亻亥,gai1,亻,亥,ren2,hai4,g,ai,1,r,en,2,h,ai,4,"[0, 0, 0]","[0, 1, 0]"
111,160,U+04F88,侈,0,亻多,chi3,亻,多,ren2,duo1,ch,i,3,r,en,2,d,uo,1,"[0, 0, 0]","[0, 0, 0]"
112,161,U+04F89,侉,0,亻夸,kua1,亻,夸,ren2,kua1,k,ua,1,r,en,2,k,ua,1,"[0, 0, 0]","[1, 1, 1]"
113,162,U+04F8A,侊,0,亻光,guang1,亻,光,ren2,guang1,g,uang,1,r,en,2,g,uang,1,"[0, 0, 0]","[1, 1, 1]"
114,163,U+04F8C,侌,1,今云,yin1,今,云,jin1,yun2,y,in,1,j,in,1,y,un,2,"[0, 1, 1]","[1, 0, 0]"
115,164,U+04F8D,侍,0,亻寺,shi4,亻,寺,ren2,si4,sh,i,4,r,en,2,s,i,4,"[0, 0, 0]","[0, 1, 1]"
116,165,U+04F8E,侎,0,亻米,mi3,亻,米,ren2,mi3,m,i,3,r,en,2,m,i,3,"[0, 0, 0]","[1, 1, 1]"
117,166,U+04F8F,侏,0,亻朱,zhu1,亻,朱,ren2,zhu1,zh,u,1,r,en,2,zh,u,1,"[0, 0, 0]","[1, 1, 1]"
118,167,U+04F90,侐,0,亻血,xu4,亻,血,ren2,xie3,x,u,4,r,en,2,x,ie,3,"[0, 0, 0]","[1, 0, 0]"
119,168,U+04F91,侑,0,亻有,you4,亻,有,ren2,you3,y,ou,4,r,en,2,y,ou,3,"[0, 0, 0]","[1, 1, 0]"
120,169,U+04F92,侒,0,亻安,an1,亻,安,ren2,an1,00,an,1,r,en,2,00,an,1,"[0, 0, 0]","[1, 1, 1]"
121,170,U+04F94,侔,0,亻牟,mou2,亻,牟,ren2,mou2,m,ou,2,r,en,2,m,ou,2,"[0, 0, 1]","[1, 1, 1]"
122,171,U+04F96,侖,1,亼冊,lun2,亼,冊,ji2,ce4,l,un,2,j,i,2,c,e,4,"[0, 0, 1]","[0, 0, 0]"
123,172,U+04F97,侗,0,亻同,tong1,亻,同,ren2,tong2,t,ong,1,r,en,2,t,ong,2,"[0, 0, 0]","[1, 1, 0]"
124,173,U+04F98,侘,0,亻宅,cha4,亻,宅,ren2,zhai2,ch,a,4,r,en,2,zh,ai,2,"[0, 0, 0]","[0, 0, 0]"
125,174,U+04F99,侙,0,亻式,chi4,亻,式,ren2,shi4,ch,i,4,r,en,2,sh,i,4,"[0, 0, 0]","[0, 1, 1]"
