,Type,Total Acc,Regular Acc,Irregular Acc,Test Regular%,Test Irregular%,Train Regular,Train Irregular,Train Regular%,Train Irregular%,Each Acc,Each Regular Acc,Each Irregular Acc
0,V;PST,0.918918918918919,0.9423076923076923,0.8983050847457628,46.85%,53.15%,693.0,1002.0,40.88%,59.12%,0.918918918918919,0.9423076923076923,0.8983050847457628
1,V;V.PTCP;PST,0.8272251308900523,0.926829268292683,0.7522935779816514,42.93%,57.07%,671.0,1023.0,39.61%,60.39%,0.837696335078534,0.9146341463414634,0.7798165137614679
2,V;V.PTCP;PRS,0.905940594059406,0.9702970297029703,0.8415841584158416,50.00%,50.00%,828.0,852.0,49.29%,50.71%,0.905940594059406,0.9702970297029703,0.8415841584158416
3,V;NFIN,0.9771428571428571,0.9771428571428571,Nan,100.00%,0.00%,1716.0,0.0,100.00%,0.00%,0.9657142857142857,0.9657142857142857,Nan
4,V;3;SG;PRS,0.9571428571428572,0.9567567567567568,0.96,88.10%,11.90%,1564.0,151.0,91.20%,8.80%,0.9571428571428572,0.9567567567567568,0.96
